source,text,date
play_store,it is a nice website and app to buy your favourite cloths and others things,2026-08-28
play_store,nice app express delivery available,2026-08-28
play_store,costumer support is a joke ...,2026-08-28
play_store,"best app for shopping, especially i have got the best items of wardrobe from here. I you have to do shopping, you can definitely prefer myntra. Myntra is the best app for shopping till date.",2026-08-28
play_store,NICE AND CUTE PRODUCT AND FAST DELIVERY,2026-08-28
play_store,"this is my first and last shopping app , it's so enjoyable to use easy to use and even purchase tooo , I really love this app highly recommended..",2026-08-28
play_store,best app for shopping,2026-08-28
play_store,"nice app , returns & refund are fast af-",2026-08-28
play_store,best app for online soping,2026-08-28
play_store,app is good easy to use wide range of products,2026-08-28
play_store,nice shopping app and this app delivery fast and responsive,2026-08-28
play_store,super fashion app for all stages best to use,2026-08-28
play_store,the worst app you can use. please don't order anything from it . delivery is always late and wrong products are given the worst experience one can face. please use Amazon it's the best app. I ordered crocs worth 6k size 10 they are always sending me size 11 I have complained atleast 14-15 times. please don't ever think to buy anything from here,2026-08-28
play_store,Good App easily got,2026-08-28
play_store,3rd class app.. play games with customer's effort and time,2026-08-28
play_store,The shopping experience very good purchasing me suitable items for the good quality fast delivery communication thank you Myntra,2026-08-28
play_store,bohut acha aa app but bohut Price magta hai 🥲,2026-08-28
play_store,worst app delivers expired items in festival background even to Elite customers. with no policy for refund return .,2026-08-28
play_store,worst service ever .... totally fed up from this app or website.....,2026-08-28
play_store,"“Great app, easy to use, fast service, and very user-friendly experience.”",2026-08-28
play_store,worst e commerce app I have seen till now they take 10 days to deliver a thing and without any proper tracking and phone calls or messages and had a worst experience in my city gorakhpur hub I have their to collect my own order and they are finding my order and after 1 hours of waiting they said that looks like your order is packed may be or be with delivery agent we will inform you later and then the next day product has been cancelled and they the product has been lost..... not even 1 star,2026-08-28
play_store,amazing quality clothes,2026-08-28
play_store,"Poor Service The order was marked as delivered even though I never received it. I raised the issue, but no proper action or resolution was provided. Very disappointing service and poor customer support.",2026-08-28
play_store,I ordered a mustache face wash and I received a duplicate product. and I complain about it and call the customer service they told me we can't do anything for you on this order. and it was my fast myntra order. useless customer service.,2026-08-28
play_store,One of the best shopping apps ever.,2026-08-28
play_store,Crazy shopping app...I really appreciate the app interface and it's coustomer care ... prompt reply and problem solving time ... excellent 👍,2026-08-28
play_store,some time they made me irritate,2026-08-28
play_store,best app for shopping trust and authentic,2026-08-28
play_store,I am very happy yo this app,2026-08-28
play_store,immaculate... I'm really happy with this app. I've never seen more efficient shopping app like this before,2026-08-28
play_store,"user friendly app ,unique collections and smart delivery",2026-08-28
play_store,They fraudulently avoid accepting returns. Quality of clothes is also pathetic.,2026-08-28
play_store,"On 26 they said my number was not available and cancelled the delivery, I gave an alternative number that same day and then today they cancelled the delivery again, I called them and they didn't pick up... poor delivery team.. worst delivery I ever seen, can't even give 2 marks out of 100... I am abroad but at the same address I purchase from Amazon and Flipkart and the item arrives at home correctly, this is the first time I have had such an experience. With this, I stopped deal with you.",2026-08-28
play_store,fast growing online fashion platform,2026-08-28
play_store,satisfaction guaranted,2026-08-28
play_store,fast delivery...nice and genuine products,2026-08-28
play_store,I've faced this issue two times ki maine order Kara or wo bina mere tak aaye order delivered dikha rha hai ek bar order delivery boy ke ghar pe tha... or dundhne pe order mil gya after 7 days or 2nd time mere paise bhi kate or order delivery bhi ni hua and still it's showing delivered...,2026-08-28
play_store,"they are scammers fraudsters, I know ki 1 rating se tum logo ka kuch nahi hoga but agar 1 person bhi is baat ko samjh lega to mera issue describe karna worth it hoga, first of all they applied platform fee on each product when you are going to buy something then you have to pay that platform fee along with your product charge, after that agar aap us product ko return karte like size issue nd all then ye apko product charges hi return karenge platform fees nahi.",2026-08-28
play_store,very bad experience with myntra,2026-08-28
play_store,badhiya app hai,2026-08-28
play_store,really amazing. quality products at budget friendly price ☺️☺️,2026-08-28
play_store,good for everything,2026-08-28
play_store,Good shopping app,2026-08-28
play_store,Hi guys my honest feedback about Myntra is just a Manthra in my shopping lifestyle. this app is just an amazing experience I got it. I just loved it. ♥️,2026-08-28
play_store,good app for purchasing selfcare items !!,2026-08-28
play_store,"myntra is a very good shopping app , authentic brands are delivered very nice myntra 👍😍😍",2026-08-28
play_store,"I placed an order that was supposed to be delivered on the 27th, but it’s already the 28th and your tracking page still says, “We will deliver your order as soon as possible.” Pathetic service—there’s not even anyone available to register a complaint. You have completely ruined my Raksha Bandhan plans. Extremely disappointing and unacceptable. Thankyou for such great Service Myntra",2026-08-28
play_store,it's cheap plus good 😊 shoes clothes and even accessories are so beautiful ❤️❤️,2026-08-28
play_store,Best app for fashion,2026-08-28
